Indonesia,label
"saat berbagai persiapan menjelang pertandingan dilakukan, teman-teman di pbsi mengingatkan saya bahwa kami sedang bermasalah.",0
"Permisi, saya ingin pergi ke dermaga C. Apakah ini jalannya?",0
Bagaimana Anda menghabiskan liburan musim panas Anda?,0
"Maaf mengganggu Anda, tapi akan kita buat sebelum pertandingan dimulai?",0
Selalu seperti ini setiap hari Senin.,1
Saya tidur melalui enam puluh alarm.,1
proses mejadikan bank tugu menjadi bank mega syariah merupakan pengalaman pribadi yang tidak akan terlupakan.,0
sekarang konsentrasinya di ntb dan ntt,1
"harry menghabiskan sepanjang hari di kamar tidurnya, hanya meninggalkannya untuk pergi ke kamar mandi.",2
mrs figg sudah berbelok di sudut dan lenyap dari pandangan sebelum suara paman vernon melayang dari jendela lagi.,0
dia tinggal di tebet barat 8.,2
"bicara pengabdian, banyak cara mewujudkan hal itu.",1
Saya tidak yakin apakah paspor saya dicuri atau hanya terjatuh dari saku saya.,2
Apakah saya harus berdandan?,0
bukan hal mudah menyelenggarakan acara di istana megah di kota bogor.,0
Saya menelepon dari bandara. Saya akan berada di sana sekitar pukul empat.,0
"Mmm, bagus. Permisi, Dapatkah Anda memeriksa salad saya?",0
kami memandang beliau dengan benci,2
"tanpa bicara, semua berlari ke arah restoran menikmati bakmi dan es shanghai.",1
Nikmati.,0
tak lama kemudian aku melihat pagar-pagar sekolahku.,0
harry dalam kesulitan sekarang dan dia tahu itu,1
dia mudah memahami bahasa efektif dalam berkomunikasi,1
"ketika krisis ekonomi itu, saya sudah meminta kepada ct agar kisah perjalan hidupnya bisa di-share kepada orang lain, terutama generasi muda, agar mereka terinspirasi.",1
Dompet saya ketemu di kereta bawah tanah.,0
"meski aktivitas tersebut sudah berlalu, kami saling kenal dan bertambah dekat satu sama lain.",0
"Hari Kesehatan - Olahraga, tanggal Sepuluh Oktober adalah hari libur nasional yang dirancang untuk mempromosikan kesehatan masyarakat.",2
suara kita bisa memberikan pengaruh secara psikologis kepada siapa pun.,0
"gerbang kampus kami gembok, diperkuat pagar betis banyak teman aktivis.",0
Dapatkah Anda merekomendasikan sebuah hotel yang tidak terlalu mahal?,1
"hingga tahun 1985 saya lebih berkunjung kejalan bango, percetakan sekaligus tempat tinggal beni dan hardi.",0
untuk tahun ajaran 2012/2013 tercatat ada lebih dari 2.000 pendaftar dari 27 kabupaten dan kota di sumatera utara.,1
"orang kaya gizinya baik, sekolah pintar dan lebih tinggi, makin produktif, ditambah akses terhadap aset sangat luas, akhirnya mereka akan kembali kaya.",1
Jam berapa bus berikutnya datang?,1
Saya yakin begitu. Tolong potong rambutnya.,2
Saya menyesal mendengarnya. Apakah Anda mengalami demam?,0
pn merupakan penghasil timah nasional terbesar yang mempekerjakan tidak kurang dari 14000 orang,1
Silahkan hubungi taksi.,0
Itu benar-benar cantik. Mungkin Anda bisa memberi saya beberapa ide untuk kebun saya?,1
kemarilah ayahanda berapa empat kali empat,1
"atas arahan bapak, setelah menyelesaikan sd di vanlith.",0
"pada masanya, prestasi bulu tangkis indonesia sudah lengkap.",1
Bisakah Anda menemukannya?,0
Apakah ini berlapis perak?,0
"Saya percaya itu adalah pukul tujuh empat lima pada hari Jumat, tanggal enam belas.",1
jika kita mengatakan bahwa dunia akan kiamat besok maka ia pasti akan bergegas pulang untuk menjual satu satunya ayam yang ia miliki,0
"setelah mendapatkan penjelasan, saya kumpulkan seluruh tim untuk meminta pendapat, salah satu di antaranya adalah benny (sekarang direktur utama bank mega syariah).",0
Saya punya dua botol wiski. Semuanya untuk saya sendiri.,0
buku yang anda pegang ini adalah sebuah catatan sejarah yang berisi perjalanan hidup saya.,0
kebahagiaan yang spesifik karena kami hidup dengan persepsi tentang kesenangan sekolah dan persahabatan,1
"Dalam hal ini, saya akan merekomendasikan satu ini.",1
namun dianggap oleh kelompok lain keduniaan itu meninggalkan unsur keakhiratan.,1
a kiong menampar trapani seperti orang kesurupan.,1
Berapa lama itu?,2
pada tahun tahun mendatang bayangannya sering mengunjungiku,1
seluruh kehidupannya seolah terinspirasi lagu wajib belajar karya rn sutarmas,2
"Tolong, Dapatkah saya memesan dua tiket kelas dua ke Chicago?",2
Tidak ada masalah.,1
"berat apabila mengandalkan dana dari pemerintah daerah, belum lagi melewati rangkaian birokrasi.",0
kondisi ini mengakibatkan kulit penderita menjadi sangat pucat.,2
Saya punya pertanyaan untuk Anda.,0
keputusan untuk melaksanakan program bank mega berbagi pada saat krisis ekonomi tahun 1998 juga antara lain didasarkan pada pengalaman batin yang saya alami waktu kecil.,1
"biasanya kami tidak sampai ke puncak, sudah cukup puas dengan pemandangan dari 75% ketinggiannya.",0
tentu saja sembilan puluh sembilan dolar 'kan,1
anton sungguh tak punya perasaan.,1
Berapa lama carry over kolam itu?,2
Apakah Anda punya seseorang yang bisa berbicara Jepang?,0
dia pantang berbohong,1
"sebuah bank bermasalah, masalah utamanya ada pada nasabah yang meminjam uang, begitu pemikiran saya.",1
"peradaban manusia yang unggul harus didasari oleh kasih sayang, berbagi, kejujuran, kemuliaan hidup, bukan semata sikat-menyikat, sikut-menyikut mencapai kedudukan dengan segala macam cara.",1
Silahkan masukan nomor pin Anda.,0
tidak akan selesai dengan lantas menjadikan orang miskin sebagai objek sedekah dan kedermawanan.,0
ibunda guru ibunda mesti tahu bahwa anak anak kuli ini kelakuannya seperti setan,2
"Tolong, pisahkan ini ke dalam tagihan yang lebih kecil.",1
Berapa tarif ke Washington?,2
rumah anak madani (ram) yang semula dibangun untuk menampung anak-anak korban tsunami 2004 harus terus bergulir.,1
"angkatan darat saat itu begitu powerful, baik dibandingkan dengan angkatan lain di tubuh abri maupun di roda pemerintahan orde baru di bawah kepemimpinan presiden soeharto waktu itu.",2
sesungguhnya harry berpendapat kelakuannya selama ini sangat baik mengingat betapa frustrasi dan marahnya dia terkurung di privet drive begitu lama,2
"Tolong, saya mau uang logam dalam berbagai pecahan.",1
"Kami tidak ingin menyeret istri-istri kami ke dalam pekerjaan kita, yang seringkali dapat melelahkan.",1
“aku mau ikut ke pasar cai“ syahdan memohon kepada kucai,1
sekolah kami tidak dijaga karena tidak ada benda berharga yang layak dicuri,1
proses menunggu keputusan sangat lama karena mulai dari bawah hingga gunernur.,0
Ya. Kapan saja. Mereka semua boleh ke sini.,0
Saya ingin melakukan panggilan luar negeri ke Jepang. Ini adalah Yuki Murai di kamar tiga belas. Saya ingin menelpon dengan skema collect call (penerima yang membayar biaya telpon) ke Bapak Keisuke Murai. Nomor telepon Tokyo nol tiga tiga tujuh dua enam delapan tiga sembilan satu.,0
"Tolong, Tunjukkan daftar anggurnya.",1
Lebih banyak telur lagi ya.,0
"Ah, itu bukan apa-apa.",2
"suatu ketika saya bertanya, mas yan, kenapa sih ada program listrik masuk desa, tapi penduduk desa malah tambah miskin?",0
"Baru-baru ini ada ahli pencicip makanan, bukan?",1
kebetulan waktu itu ibu mien uno dari tiga utama membantu para tamu vip dan jamaah haji onh plus termasuk saya dan ibu.,0
idenya adalah membuat orang diberi kesempatan yang sama.,1
Pegang acar ini.,2
"lalu muncul 20 nama, dan ada nama ct corp di dalamnya (waktu itu masih para group).",0
"rumah yang ditempati adalah rumah nenek saya, ibunda dari ibu halimah.",0
"begitu pak adi sasono menjadi menteri koperasi dan usaha kecil menengah, pak cacuk diangkat menjadi salah satu direktur jenderal kementerian itu.",1
Saya hanya punya tagihan satu dolar. Harap simpan kembaliannya.,1
Saya ingin gaun merah.,1
"jika ada sebagian anggapan saya sekarang begini karena keterpaksaan, dan entrepreneurship tersebut lahir dari kondisi serba keterbatasan itu, ini saya amini.",0
"saat ayah, ibu dan adik-adik memutuskan pindah ke karang anyar, saya dan kakak kandung saya chairil tanjung, masih tinggal sama nenek, saying kedekatan kami akhirnya harus disudahi.",0
kampung kami adalah kampung terkaya di indonesia,0
tak sabar rasanya ingin segera kuberikan pada a ling.,1
"selama ini masyarakat kalau menonton di bioskop mesti keluar rumah, kemudian persepsi itu kami ubah, yakni tetap menonton film seperti di biaoskop, tetapi lokasinya di rumah melalui televisi.",0
"adakah peluang dia mungkin diizinkan kembali ke hogwarts, kalau begitu?",0
"wajar jika ada teman-teman yang telat membayar, tapi alhamdulillah hampir tidak ada satu pun yang tidak membayar, karena konsekuensinya barang bisa saya ambil kembali.",2
Dapatkah Anda memintanya untuk menelepon kembali?,1
Anda tidak diizinkan untuk parkir di sini.,1
Dapatkah saya memesan dua kursi di lantai dua untuk malam ini?,2
"sebuah bank bermasalah yang pada 1995 saya ambil atas rekomendasi bank indonesia, semula bernama bank karman, saat itu beraset hanya rp 120 miliar, yang kemudian berubah nama menjadi bank mega.",0
anggap saja itu sebagai biaya pendekatan.,0
"dengan bangga, pada hari pertama mobil itu langsung saya bawa ke kampus.",1
salah satu persyaratan utamanya adalah menyerahkan laporan keuangan perusahaan secara lengkap.,0
Fasilitas olahraga apa saja yang Anda miliki?,1
Kapan Anda akan pergi?,0
Sekarang saya tahu apa yang salah.,1
demikianlah yang berlangsung selama puluhan tahun lamanya,2
"penguasa bisa memberikan proteksi, izin-izin, dan berbagai kemudahan kepada yang mempunyai uang.",2
"jika melihat keramaian itu, orang mungkin menduga sedang ada rapat koordinasi negara di dalam tenda putih itu.",0
"ketika itu, tiga utama termasuk salah satu biro perjalanan haji terbaik dan di perusahaan itu banyak kiai terkenal yang memberikan bimbingan haji kepada jemaah.",0
kelemahannya adalah nilai nilai ulangannya tidak pernah melampaui angka enam,1
Saya lebih suka mobil otomatis.,1
"pilihan pertama teknik sipil perencanaan institut teknologi bandung, pilihan kedua fakultas kedokteran gigi universitas indonesia, dan pilihan ketiga adalah fakultas farmasi, juga di universitas indonesia.",0
Apakah ini dijamin?,0
Delapan puluh pound dengan sarapan.,2
"praktis, saya, bambang, dan hardi menjadi teman dekat.",1
Dompet saya telah dicuri.,1
"dengan begitu, saya pun belajar banyak dari lika-liku kehidupan dan perjalanan hidup ct.",0
jika kami kesulitan dia mengajari kami dengan sabar dan selalu membesarkan hati kami,1
Yang gerbang yang harus saya masuki?,2
Apakah ada bus bandara yang menuju ke Plaza Hotel?,0
"contohnya, hampir semua acara di trans tv maupun trans 7 dibuat oleh kami sendiri yang semuanya diproduksi untuk memenuhi kebutuhan pemirsa.",0
"Nah, biarkan saya memeriksa kelebihan dan kekurangannya. Apa jenis kamera ini?",1
"saya tanya kepada mereka ongkos fotokopi, semua rata-rata menawarkan tarif rp 25 per lembar.",2
Dapatkah Anda mengubah kata-kata yang baru saja Anda katakan?,2
"kendati demikian, angka kemiskinan dan pengangguran tetap menjadi masalah klasik di tanah air.",1
maka sore itu sesungguhnya bodenga telah mengajariku ilmu firasat,1
Kami buka pukul 10:00 sampai pukul 19:30.,1
"bukan jumlah uang kecil bagi kami, mahasiswa tahun 1981.",1
dia sama sekali tidak bisa menangkap pelajaran membaca atau menulis,1
Dapatkah saya mendapatkan sup lagi?,0
"banyak ruang kelas tanpa pintu, wc sangat kotor, guru itu-itu saja dan cara mengajar masih sangat konvensional menggunakan papan tulis hitam dan kapur.",0
kebetulan sasda adalah keponakan dan pada waktu itu pak ishadi baru saja diberhentikan sebagai direktur tvri.,2
Berapa biaya untuk (menginap) satu malam?,0
"saat itu, banyak teman yang berseloroh, ngapain ke perpustakaan, mending nonton film.",0
lintang menarik napas,1
"lengkapnya fasilitas belajar-mengajar, ditambah lagi dengan banyaknya kegiatan ekstra, semakin meminimalkan waktu para siswa untuk terjebak pada kegiatan yang tidak-tidak, tawuran misalnya.",1
aku tak bisa tidur sepanjang malam.,0
masyarakat hanya menemukan potongan kaki buntungnya,1
"acara makan siang bersama itu menjadi hangat dan guyub karena tidak semata acara perubahan logo dan nama dari para group menjadi ct corp, tetapi juga sekaligus untuk menyatukan langkah bersama demi mewujudkan indonesia yang lebih baik, maju, dan sejahtera.",0
"malam begadang menonton televise, akhirnya kebiasaan selepas subuh telah bekerja di ladang, malah bangun siang.",2
kami menulis pilihan kami dengan bersungguh sungguh dan saling berahasiakan pilihan itu dengan sangat ketat,0
bodenga kami serentak menutup mulut dengan tangan,2
Bisakah Anda menjaga bagasi ini?,0
"mendengar cerita tersebut, hati saya ternyuh membayangkan betapa besarnya perjuangan yang dilakukan salman al-farisi untuk menggendong ibunya ke mekkah.",2
Kami ingin meja di dekat jendela.,0
Berapa banyak pensil yang Anda butuhkan?,1
program ini bertujuan mengajak seluruh orang indonesia yang kebetulan memiliki kemampuan dan kepedulian terhadap bangsanya untuk membantu saudara-saudaranya yang tengah dalam kesulitan.,1
flo tidak suka menerima dirinya sebagai seorang perempuan,1
tarian yang dilakukan dua kali lebih cepat dari tempo latihan.,0
anak-anak kembali memiliki rumah dan akan segera kembali bersekolah.,0
buku bersampul biru tua itu bergaris tiga,2
tempat saya belajar teater di utan kayu.,0
"kalau akhirnya nanti, tidak sekarang, kalian anggap ini tidak bermanfaat, ya, lupakan saja, jawab mas yan yang tetap tenang menghadapi kami, remaja usia belasan tahun.",2
"kejadian in persis seperti saat bung karno bertemu pak marhaen, petani dengan segala kerja keras dan kemandiriannya.",0
tepat pukul 21.00 akhirnya we care indonesia bisa ditayangkan langsung! ratusan artis papan atas indonesia terlibat aktif di atas panggung dengan orkestra yang dipimpin erwin gutawa.,1
Nama Anda lagi?,0
logika berpikir seperti itu masuk akal bagi saya.,0
Apakah Anda mengkonsumsi obat lain?,0
"walhasil, saya kembali menggunakan kendaraan umum sebagai alat transportasi utama sehari-hari.",0
"kemudian menciut lagi menjadi 10 perusahaan dan masih ada nama kami, lalu menciut menjadi 5 perusahaan, sampai akhirnya menjadi 2 perusahaan.",0
sudah dua hari aku tidak masuk sekolah.,0
Apakah Anda punya jaket yang bagus dengan harga sekitar seratus dolar?,1
"aku setuju dengan pendapat itu, dan tak hanya itu yang dilakukan seorang guru.",1
Mereka terlalu kecil.,0
Apakah ini untuk Wall Street?,0
air dengan mudah dialirkan dari sumber air dari bawah ke rumah penduduk dengan ketinggian 100 meter.,0
saya upaya segala aktivitas dikampus tidak mengganggu peraturan baik formal maupun informal.,1
Saya punya sekitar seratus dolar di dalamnya.,2
tinju menghantam sisi kepala harry membuat kakinya terangkat,1
Delta Airlines.,1
"musyawarah nasional ke-18 pbsi dilakukan selama dua hari, 2-4 november 2001, di hotel indonesia.",2
sekarang tekanan tenaga samson dan daya isap bola tenis itu mulai bereaksi menyiksaku,0
devi anita pernah menjadi direktur yarsi; ade herman pernah bekerja di badan pengawas pasar modal (bapepam) dan sekarang pension.,1
Tolong bungkus itu.,2
Bolehkah saya meminjam perekat?,1
apakah ada yang kosong malam ini?,1
tertera angka rp 150 juta.,0
Saya bertaruh dua pound.,2
Saya belum mendapatkan salad saya.,0
"pesan dalam promo tersebut singkat dan jelas, mengajak semua alumnus untuk back to school dalam pagelaran acara reuni.",0
"harry terpaku di tempatnya. surat-surat dari, kementerian, mr weasley, dan sirius, semuanya teremas di tangan kirinya.",0
hari ini adalah hari yang sial dalam hidup bu mus.,1
"di dekatnya aku merasa berarti, merasa menjadi seseorang, di dekatnya aku merasa ingin menjadi seorang pria yang lebih baik.",0
mungkinkah dobby ada di sini di privet drive? mungkinkah dobby mengikutinya saat ini? begitu pikiran ini terlintas,1
"dementor bergentayangan di little whinging, dan dia mungkin tak akan pernah kembali ke hogwarts.",0
aku juga sudah pernah membaca buku itu maaf aku tidak suka terlalu banyak nama dan tempat susah aku mengingatnya,2
Bagaimana Anda membaca waktu?,1
"seperti biasa, selalu ada rumor setiap kali sebuah keputusan diambil.",1
Apakah saya punya waktu untuk makan?,0
"hasil penelitian tim pendahulu yang saya pimpin sendiri menggambarkan bahwa masyarakat sumatera barat kala itu cukup sulit diajak bekerja sama, lebih sulit dibandingkan masyarakat bengkulu.",1
Apa yang akan Anda lakukan pada malam tahun baru?,1
"Ini bukan kupon, ini adalah tanda terima pendaftaran.",1
"urunan! budi lantas mencari kantong keresek dan menagih masing-masing dari kami, terkumpul rata-rata rp 10 hingga rp 20 dari setiap anak.",0
lalu beliau bercerita pada bu mus bahwa kemarin sore kawalaburung pelintang pulau mengunjungi pesisir,0
Dia ingin bir.,0
Saya ingin menelpon ke San Francisco.,1
"diplomasi memulangkan taufik berhasil tanpa menimbulkan keributan sekaligus tanpa uang pelican, kecuali untuk operasional saya ke sana kemari.",2
Dimana stasiun terdekat?,2
sebuah doa yang langsung dikabulkan di tempat.,1
Yang mana tempat kursus untuk pemula '?,2
senin pagi yang cerah.,1
Kami punya penerbangan ke Atlanta dengan transit ke San Francisco.,1
harry tidak punya perasaan khusus mengenai kepergian keluarga dursley.,0
"Hi, Jean. Bisakah Anda membawanya ke binatu?",0
aku terjajar ke belakang sampai hampir jatuh,2
Saya mencari hadiah.,0
"semua itu terjadi atas kehendak allah swt, karena itu dalam berbagai kesempatan saya berusaha untuk selalu berbagi dan bersyukur.",1
"masalahnya ada di tingkat mikro, bukan di tingkat makro.",2
"keputusan rapat tersebut menyatakan, kami kan melakukan long march dari salemba rawamangun untuk memaksa mahasiswa yang tidak mogok untuk pula melakukan mogok.",2
Apakah itu punya kamar mandi dan toilet?,0
"tidur menumpang di rumah-rumah penduduk, mandi, juga makan.",0
Apakah ada sesuatu yang dapat saya ambil untuk ruam ini?,1
sering kali saya mampu mengulang informasi pihak lain sama persis.,2
Persiapan apa yang harus mereka buat untuk berhasil dalam ujian?,0
Saya tidak tahu sama sekali ini adalah obat.,1
aku sebangku dengan anak laki laki kecil kotor berambut keriting merah yang tidak kukenal tadi,1
dia tidak bisa dilihat oleh orang-orang yang lewat.,1
"Itu baik-baik saja, terima kasih.",1
Apakah souvenir khas Hawaii?,0
"banyak perusahaan gulung tikar, mengakibatkan pemutusan hubungan kerja (phk) secara besar-besaran, angka pengangguran meningkat drastis.",1
harry mengembuskan napas panjang pelan dan menatap langit yang biru cerah,1
"Tolong, Dolar AS.",1
Saya ingin itu direbus.,0
lengkap sudah kebahagiaan kami.,1
Di sini (hawanya) sedikit panas. Bolehkah saya membuka jendela?,0
"saya sendiri terus terang kurang yakin apakah astra masih bisa selamat melewati krisis ini atau bahkan hancur bersama dengan yang lain, jawab bu rini dengan nada pesimistis.",2
Bisakah Anda menguangkan cek dua ratus dollat saya?,2
"ditengah keterebatasan waktu, saya menyempatkan diri untuk memberi tahu cara masak kepada anita, bahkan mengganti popok putri, meski dirumah sudah di bantu asisten.",2
Dapatkah saya mengirim telex?,0
Apa warna terbaru di musim ini?,0
"lagi pula, para mahasiswa pasti akan lewat tangga itu.",1
mereka berdua lah yang tahun 1990 saya ajak serta saya putuskan membeli baby benz pertama.,0
"kami sedang membangun, maka diperlukan sebuah fondasi amat kuat agar tahan menghadapi berbagai bentuk guncangan.",0
Saya perlu melakukan asuransi.,0
pekerjaan kki kemudian diarahkan kepada upaya pencegahan narkoba.,2
Dan?,1
cerita tentang hantu sebagai makhluk halus menakutkan hamper selalu membuat anak-anak takut.,2
pria ini adalah utusan dari dinas kesehatan yang menyemprot sarang nyamuk dengan ddt,0
Apakah Anda bisa merekomendasikan sebuah restoran Perancis yang baik?,1
"Tolong, saya ingin beberapa kemeja.",0
Pakaian macam apa?,0
abu ani tak kuasa menahan tangis.,1
bapak kalau menjelaskan soal matematika selalu dikaitkan dengan contoh-contoh dalam kehidupan nyata.,1
Bisakah Anda membantu saya menemukan bagasi saya?,0
dia seperti toko serba ada kepandaian,1
"kalau mau seperti itu, oke; kalau tidak, silahkan cari mitra lain.",0
hingga tahun 2005 prestasinya telah merosot jauh di atas peringkat ke-100.,2
"mendengar hal itu, pak arifin sempat shock.",2
Pendingin ruangannya tidak bekerja.,1
"Tolong, pesan dua tiket kursi untuk Washington DC pada jam delapan.",0
kita merampas kehormatan dan harga diri orang miskin.,1
"apalagi waktu itu pak ishadi tidak bisa membantu langsung, mengirim orang lain juga tidak jelas.",2
"astragatra tediri dari trigarta (dan seterusnya), begitu jawaban alin dengan lancer.",0
bodenga tidak pernah kembali lagi,1
Bisakah Anda mengubah kursi saya?,0
Apakah ini meja resepsionis? Apakah ada klinik di dekatnya?,0
sahar menyanyikan lagu rayuan pulau kelapa dengan gaya seperti seriosa yang menurut dia sangat bagus padahal sumbangnya minta ampun,0
rangking duaku abadi tidak berubah sejak catur wulan pertama kelas satu sd,2
ayah bambang pernah menjadi inspirasi saya saat awal-awal memulai usaha.,1
aku tak berani melihat para penonton.,1
Beri saya waktu untuk memikirkan hal itu.,1
sektor keuangan sangatlah penting sekaligus sensitif.,1
Saya ingin menyewa perahu berlayar.,0
"dengan logat betawi-nya bapak berkata, noh, lu tolong ingetin chairul jangan terlalu fokus ke bisnisnya.",0
"Tolong, saya ingin kentang panggang dengan krim asam.",0
Apa saja isinya?,1
"Hari Kesehatan - Olahraga, tanggal Sepuluh Oktober adalah hari libur nasional yang dirancang",0
bahkan dianggap sebagai salah satu anak baik-baik karena tidak ada kedekatan khusus dengan pemerintah kala itu.,1
tak ada orang kaya di sana yang ada hanya kerumunan toko miskin di pasar tradisional dan rumah rumah panggung,0
laki laki itu berlari mencari bantuan orang orang di kantor desa,0
"pada tahun 2010, mereka telah mempunyai 79 gerai yang terdiri dari 63 hipermarket dan 16 supermarket.",0
kondisi ini kemudian dijadikan senjata untuk menggoyang kepemimpinan saya di pbsi.,0
Dari tujuh sampai sembilan. Silahkan datang ke restoran di lantai dua.,2
"Bisakah Anda memintanya untuk berhenti merokok, di sana?",1
pukul 3.30 selesai shalat ashar.,1
"pada periode kepemimpinannya, indonesia pertama kali merebut emas pada olimpiade tahun 1992 di barcelona yang diraih oleh susi susanti dan alan budi kusuma.",0
namun senyum bu mus itu senyum getir yang dipaksakan karena tampak jelas beliau sedang cemas,2
"baru selesai setengah jalan, ternyata pemilik pabrik tersebut bangkrut.",0
"Tolong, jangan dibuat terlalu elok.",1
"membawa putra tunggalnya, mereka berdua sempat pindah ke aceh sebelum akhirnya mencoba mengubah peruntungan pindah ke ibu kota jakarta.",0
"sayangnya, itu tidak mungkin terjadi apabila kita tidak bisa mengembangkan kepribadian, karena kita dikerangkeng oleh suatu sistem penguasaan ekonomi oleh pihak asing.",0
Apakah Anda tahu sekolah menyelam yang baik?,0
"tari-tarian, seni vocal, membuat dan membaca puisi, dan sejenisnya.",2
beliau saksikan sendiri begitu banyak korban di segala penjuru.,0
Hello. Susan. Ini adalah Cathy. Bagaimana kabarmu?,1
"mancik, rektor institute pertanian bogor waktu itu.",0
ruangan di dalamnya sempit dan berbentuk memanjang dengan dua pintu di depan dan belakang,2
Sebagian besar orang Jepang makan gurita dan cumi-cumi.,0
sambutan masyarakat juga begitu meriah.,1
"hampir semua mahasiswa dari seluruh angkatan mengenal saya, termasuk dosen, dekan, bahkan rektor ui.",0
"di satu kerumunan tampak bersorak gembira, sedangkan di sisi lain tidak sedikit calon mahasiswa yang menundukkan kepala, bahkan ada juga yang menangis.",1
Makanan saya sudah siap apa belum?,0
Loket mana yang menjual prangko?,0
isapan bola tenis itu laksana sengatan lebah yang paling berbisa dan tubuhku mulai terasa menciut,0
Tolong Dapatkah Anda memecah ini menjadi empat?,1
"beliau lulusan boedoet tahun 1961, 20 tahun sebelum saya.",2
dia tak tahu berapa lama sudah dia duduk di ayunan itu sebelum terdengar suara suara yang mengganggu renungannya dan dia mendongak,0
mas yan lulus smp vanlith tahun 1969 dan setelah itu pindah ke padang.,1
"kala itu, dosen mungkin bisa disejajarkan setingkat dibawah tuhan.",1
aku tak mungkin berada di dalam liga ini.,0
bu mus tak berminat mendebatku dan kulihat perubahan wajahnya.,0
solusi pada aspek kultural adalah dengan membangkitkan etos bisnis umat sesuai nilai-nilai islam.,2
Benar.,1
"dadaku sesak karena rindu dan marah, aku naiki sepeda dan ingin pergi.",1
kusen pintu itu miring karena seluruh bangunan sekolah sudah doyong seolah akan roboh,0
"tugas lainnya adalah mengatur pertemuan rahasia, biasanya undangan dibuat oleh bosku, mahar atau flo.",1
Dapatkah Anda memangkas poni saya setengah inci di atas alis mata?,2
"kalau mimpi indonesia itu menyangkut perubahan struktural, membangun masyarakat mandiri, lebih terhormat, lebih bermartabat, dan tidak semata individual.",1
Apa tujuan perjalanan Anda?,0
ia memiliki enam macam tas yang dipakai berbeda-beda setiap hari.,0
Saya perlu membeli sampo.,0
dia baru bergerak kira-kira lima sentimeter ketika beberapa hal terjadi beruntun dengan cepat.,0
"ketika dalam luapan kemarahannya bibi petunia berteriak bahwa ibu harry orang aneh, harry tak pernah mendengarnya menyebut-nyebut adiknya.",0
"bachtiar, dosen ilmu kedokteran dasar yang waktu itu masih bujangan.",2
dalam setiap promosi dan iklan yang kami pasang di koran selalu disebutkan mobil yang kami jual adalah bekas dokter dengan alamat di jalan sumatera itu.,0
kami berkecil hati menggenggami lidi lalu kurang dari tujuh detik tanpa membuat catatan apa pun tanpa keraguan tanpa ketergesa gesaan bahkan tanpa berkedip lintang berkumandang,2
"di usia yang masih sangat belia, ketika masih duduk di bangku sekoalh menengah pertama, anak tersebut sudah mulai mengurus keperluan transportasi teman-temannya yang akan study tour.",0
Saya ingin melaporkan ada orang asing di jendela saya.,0
Siapa teman terbaik Anda?,1
cerita mereka menemukan makam di tengah hutam sebesar tiga kali enam meter.,0
"Saya sangat menyesal, kami sedang mempersiapkan kamar yang Anda inginkan.",2
aku tak keberatan mengerjakan pr tata buku hitung dagangnya.,1
"bahkan saat dia umur balita pun, sudah menjadi kebiasaan rutin saya untuk selalu membawa putri keliling sebelum saya berangkat ke kantor.",0
berhari-hari saya dan teman-teman tidak pulang kerumah .,0
"maka dari itu pak chairul, kami perlu orang berintegritas untuk melakukan penyelamatan, dan berdasarkan track record yang kami ketahui, bapak kami anggap layak bahkan mamu.",0
"nah, di acara itulah anita meminta kepada saya untuk mengajari cara berbisnis.",1
"usaha perbankan merupakan sebuah usaha yang sama sekali tidak sembarangan, harus dikelola dengan amat hati-hati karena tanggung jawab yang begitu besar.",2
Apakah ada seseorang yang bisa berbicara Jepang?,0
Kepala saya terantuk.,2
Saya takut itu terlalu banyak bagi saya.,2
"kegiatan seperti ini bukan sekadar unjuk kekuatan, tetapi memang merupakan kegiatan yang membawa dampak luas bagi hajat hidup orang banyak.",2
"setelah nama dan izin televisi digenggam, lalu bagaimana membangunnya? saat berdiskusi dengan alex kumara muncul perkiraan biayanya, yakni sebesar rp 150 miliar.",0
"Jika Anda ingin meminjam salah satu buku saya, silahkan beritahu saya. Saya benar-benar tidak keberatan meminjamkannya kepada teman.",1
Anda bisa memberikan saya tiga dolar saja.,0
ditambah lagi satu perasaan ngilu karena sepasang sepatu baru yang dibelikan ibuku,0
"sambil menahan derai air mata, ibu negara berusaha menguatkan hati anak-anak yang tengah bersedih.",1
"karena itu, saat beranjak remaja pun prinsip itu senantiasa melekat pada pikiran saya.",2
"Ya, terdengar seperti sesuatu yang harus dilihat lebih lanjut. Apakah Anda memperhitungkan kemungkinan itu, Mr Keenan, dan laporankan temuan Anda kepada Mr Nakayama secepat mungkin?",1
"Jadi, apakah Anda telah mengemudi taksi untuk waktu yang lama?",0
saya jawab langsung di depan forum.,1
bapak berwajah orang penting tadi berusaha tersenyum ramah.,1
"Setelah dia menyerang saya, dia kabur dengan van putih.",0
sembilan gulungan kertas telah berada dalam genggaman bu mus,0
Mobil saya rusak.,1
"selain itu, modal awal untuk membeli juga belum mencukupi.",0
"Kita mungkin bisa, tapi saya takut itu akan memakan waktu beberapa bulan.",2
"tahun 1992, kantor saya di daerah kota mungkin merupakan kantor kecil pertama tingkat usaha kecil menengah yang perangkat komputernya sudah terhubung melalui local area network (lan).",0
Dapatkah Anda melanjutkan panggilan ini ke bagian urusan umum?,0
karena walaupun dia sudah terhindar dari mimpi buruk tentang cedric,1
